Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,26.629999,26.790001,26.393999,26.477501,26.477501,26480000
2015-01-05,26.357500,26.399500,25.887501,25.973000,25.973000,41182000
2015-01-06,26.025000,26.060499,25.277500,25.332001,25.332001,54456000
2015-01-07,25.547501,25.574499,25.182501,25.257500,25.257500,46918000
2015-01-08,25.075500,25.375000,24.750999,25.345501,25.345501,73054000
2015-01-09,25.409000,25.430000,24.932501,25.035999,25.035999,42000000
2015-01-12,24.962000,25.014000,24.545500,24.853001,24.853001,57138000
2015-01-13,25.128500,25.430000,24.863001,25.090000,25.090000,60958000
2015-01-14,25.021000,25.413000,24.908001,25.296499,25.296499,52800000
2015-01-15,25.444500,25.487499,25.100500,25.200500,25.200500,51068000
2015-01-16,25.157499,25.542500,25.154499,25.523001,25.523001,49658000
2015-01-20,25.638500,25.780500,25.468500,25.497000,25.497000,46796000
2015-01-21,25.542000,26.092501,25.479500,26.019501,26.019501,46356000
2015-01-22,26.150000,26.941999,26.095501,26.865000,26.865000,56068000
2015-01-23,26.901501,27.270500,26.787500,27.097500,27.097500,45966000
2015-01-26,27.075001,27.075001,26.603500,26.836000,26.836000,30932000
2015-01-27,26.570000,26.639000,26.042999,26.059500,26.059500,39148000
2015-01-28,26.250000,26.284500,25.617500,25.621500,25.621500,35822000
2015-01-29,25.645000,25.759501,25.174000,25.661501,25.661501,79018000
2015-01-30,25.950001,27.155001,25.909000,26.877501,26.877501,121108000
2015-02-02,26.716000,26.825001,26.086000,26.610001,26.610001,75378000
2015-02-03,26.497000,26.872499,26.340500,26.665001,26.665001,47062000
2015-02-04,26.657000,26.837500,26.251499,26.305000,26.305000,33896000
2015-02-05,26.396500,26.534500,26.282000,26.491501,26.491501,33176000
2015-02-06,26.550501,27.011000,26.432501,26.694000,26.694000,42938000
2015-02-09,26.552999,26.694000,26.377501,26.464001,26.464001,30314000
2015-02-10,26.607500,27.049999,26.458500,27.007999,27.007999,47430000
2015-02-11,26.986500,27.097500,26.799999,26.900000,26.900000,38306000
2015-02-12,26.983000,27.417000,26.850000,27.300501,27.300501,48590000
2015-02-13,27.375500,27.627001,27.330000,27.558001,27.558001,47382000
2015-02-17,27.558001,27.650000,27.163000,27.250500,27.250500,39174000
2015-02-18,27.191000,27.377501,26.977501,27.132500,27.132500,31164000
2015-02-19,27.123501,27.343000,27.037500,27.322500,27.322500,30834000
2015-02-20,27.379000,27.379000,26.905001,27.090000,27.090000,38234000
2015-02-23,26.950001,26.965000,26.600000,26.750000,26.750000,32906000
2015-02-24,26.577499,26.969999,26.549999,26.932501,26.932501,28406000
2015-02-25,26.922001,27.478500,26.900499,27.366501,27.366501,40836000
2015-02-26,27.287001,28.006500,27.254499,27.964500,27.964500,54032000
2015-02-27,27.907499,28.471001,27.851500,28.131500,28.131500,68328000
2015-03-02,28.350000,28.799500,28.157499,28.750999,28.750999,50406000
2015-03-03,28.817499,29.042500,28.525000,28.939501,28.939501,50526000
2015-03-04,28.848499,29.081499,28.625999,28.916500,28.916500,37964000
2015-03-05,28.981001,29.160000,28.911501,29.071501,29.071501,35918000
2015-03-06,29.100000,29.139000,28.603001,28.645000,28.645000,37592000
2015-03-09,28.546000,28.772499,28.452499,28.705000,28.705000,23478000
2015-03-10,28.424000,28.488001,27.990999,27.992500,27.992500,40080000
2015-03-11,27.990000,28.209000,27.770500,27.784500,27.784500,40524000
2015-03-12,27.924000,28.091999,27.776501,28.058500,28.058500,35602000
2015-03-13,27.961500,28.218000,27.516500,27.650000,27.650000,35428000
2015-03-16,27.846500,28.187500,27.566000,28.082001,28.082001,36856000
2015-03-17,27.914499,28.032000,27.720501,27.880501,27.880501,28892000
2015-03-18,27.886499,28.325500,27.674999,28.308001,28.308001,35324000
2015-03-19,28.226000,28.348000,28.106001,28.183500,28.183500,24660000
2015-03-20,28.335501,28.355000,28.224001,28.247499,28.247499,44320000
2015-03-23,28.299999,28.482000,28.153000,28.268499,28.268499,30234000
2015-03-24,28.427000,29.094000,28.404499,28.877001,28.877001,79156000
2015-03-25,28.878500,29.003500,28.350000,28.350000,28.350000,53070000
2015-03-26,28.232500,28.359501,27.915501,28.181999,28.181999,49842000
2015-03-27,28.091499,28.203501,27.846500,27.877501,27.877501,34552000
2015-03-30,28.012501,28.108000,27.839500,28.056999,28.056999,24788000
2015-03-31,27.896999,28.122499,27.733500,27.735001,27.735001,34932000
2015-04-01,27.741501,27.924999,27.301500,27.474501,27.474501,38902000
2015-04-02,27.370501,27.400000,27.021999,27.065500,27.065500,47760000
2015-04-06,26.941999,27.277000,26.785000,27.197500,27.197500,33718000
2015-04-07,27.249500,27.507999,27.179501,27.243000,27.243000,27318000
