DATE,USTRADE
1999-10-01,15079.8
1999-11-01,15092.9
1999-12-01,15165.2
2000-01-01,15183.9
2000-02-01,15197.7
2000-03-01,15223.2
2000-04-01,15307.8
2000-05-01,15251.8
2000-06-01,15261.1
2000-07-01,15287.5
2000-08-01,15301.1
2000-09-01,15322.5
2000-10-01,15329.7
2000-11-01,15339.2
2000-12-01,15379.4
2001-01-01,15358.6
2001-02-01,15384.1
2001-03-01,15348.7
2001-04-01,15264.1
2001-05-01,15259.2
2001-06-01,15262.9
2001-07-01,15207.4
2001-08-01,15212.2
2001-09-01,15203.4
2001-10-01,15174.3
2001-11-01,15150.7
2001-12-01,15101.2
2002-01-01,15065.2
2002-02-01,15074.5
2002-03-01,15074.2
2002-04-01,15079.9
2002-05-01,15054.2
2002-06-01,15045.0
2002-07-01,15046.7
2002-08-01,14997.0
2002-09-01,14982.5
2002-10-01,14988.7
2002-11-01,14970.7
2002-12-01,14986.1
2003-01-01,14964.3
2003-02-01,14930.6
2003-03-01,14904.1
2003-04-01,14917.9
2003-05-01,14906.1
2003-06-01,14895.4
2003-07-01,14888.0
2003-08-01,14906.0
2003-09-01,14944.1
2003-10-01,14971.8
2003-11-01,14925.5
2003-12-01,14922.9
2004-01-01,14973.8
2004-02-01,14975.3
2004-03-01,15024.8
2004-04-01,15046.4
2004-05-01,15062.4
2004-06-01,15087.6
2004-07-01,15068.6
2004-08-01,15067.3
2004-09-01,15101.1
2004-10-01,15129.0
2004-11-01,15133.8
2004-12-01,15126.8
2005-01-01,15151.9
2005-02-01,15192.4
2005-03-01,15199.7
2005-04-01,15247.9
2005-05-01,15267.9
2005-06-01,15300.9
2005-07-01,15338.7
2005-08-01,15356.9
2005-09-01,15339.8
2005-10-01,15333.2
2005-11-01,15348.7
2005-12-01,15352.0
2006-01-01,15353.6
2006-02-01,15363.0
2006-03-01,15392.0
2006-04-01,15347.7
2006-05-01,15320.1
2006-06-01,15330.2
2006-07-01,15329.6
2006-08-01,15338.9
2006-09-01,15354.3
2006-10-01,15373.7
2006-11-01,15402.6
2006-12-01,15407.3
2007-01-01,15447.6
2007-02-01,15479.3
2007-03-01,15547.7
2007-04-01,15513.2
2007-05-01,15534.5
2007-06-01,15513.9
2007-07-01,15515.0
2007-08-01,15517.1
2007-09-01,15523.3
2007-10-01,15518.4
2007-11-01,15578.9
2007-12-01,15577.4
2008-01-01,15568.5
2008-02-01,15527.5
2008-03-01,15534.5
2008-04-01,15433.6
2008-05-01,15379.2
2008-06-01,15342.8
2008-07-01,15307.4
2008-08-01,15249.0
2008-09-01,15178.6
2008-10-01,15100.8
2008-11-01,14989.4
2008-12-01,14876.9
2009-01-01,14794.5
2009-02-01,14719.4
2009-03-01,14650.7
2009-04-01,14563.1
2009-05-01,14558.3
2009-06-01,14541.0
2009-07-01,14488.9
2009-08-01,14480.5
2009-09-01,14450.2
2009-10-01,14381.6
2009-11-01,14379.4
2009-12-01,14334.8
2010-01-01,14401.0
2010-02-01,14397.1
2010-03-01,14446.7
2010-04-01,14427.2
2010-05-01,14438.6
2010-06-01,14442.1
2010-07-01,14449.2
2010-08-01,14454.3
2010-09-01,14478.3
2010-10-01,14510.7
2010-11-01,14486.0
2010-12-01,14474.1
2011-01-01,14537.1
2011-02-01,14558.2
2011-03-01,14589.2
2011-04-01,14646.2
2011-05-01,14645.8
2011-06-01,14681.7
2011-07-01,14725.4
2011-08-01,14719.4
2011-09-01,14743.8
2011-10-01,14749.5
2011-11-01,14754.8
2011-12-01,14747.0
2012-01-01,14817.1
2012-02-01,14795.3
2012-03-01,14826.1
2012-04-01,14837.7
2012-05-01,14834.4
2012-06-01,14817.5
2012-07-01,14812.4
2012-08-01,14817.4
2012-09-01,14853.7
2012-10-01,14869.0
2012-11-01,14944.7
2012-12-01,14913.8
2013-01-01,14936.3
2013-02-01,14951.4
2013-03-01,14949.1
2013-04-01,14968.2
2013-05-01,15002.0
2013-06-01,15048.5
2013-07-01,15089.7
2013-08-01,15129.5
2013-09-01,15162.7
2013-10-01,15196.3
2013-11-01,15212.3
2013-12-01,15287.7
2014-01-01,15262.9
2014-02-01,15243.7
2014-03-01,15248.1
2014-04-01,15303.0
2014-05-01,15322.9
2014-06-01,15351.8
2014-07-01,15374.9
2014-08-01,15386.2
2014-09-01,15418.9
2014-10-01,15469.7
2014-11-01,15502.9
2014-12-01,15510.5
2015-01-01,15520.2
2015-02-01,15535.1
2015-03-01,15547.7
2015-04-01,15566.9
2015-05-01,15595.9
2015-06-01,15618.7
2015-07-01,15639.0
2015-08-01,15637.7
2015-09-01,15642.9
2015-10-01,15675.4
2015-11-01,15695.0
2015-12-01,15699.0
2016-01-01,15723.6
2016-02-01,15772.1
2016-03-01,15811.2
2016-04-01,15811.8
2016-05-01,15817.8
2016-06-01,15846.8
2016-07-01,15865.9
2016-08-01,15877.3
2016-09-01,15883.3
2016-10-01,15890.7
